topo,A,B,maxbond,value
CTTN,15.0,10.0,15,0.008509744901519735
CTTN,15.0,10.0,18,0.011302128804889367
CTTN,15.0,10.0,21,0.010093880648957759
CTTN,15.0,10.0,24,0.01156769160665388
CTTN,15.0,10.0,27,0.0096931662938684
CTTN,15.0,10.0,30,0.01485159163824544
CTTN,30.0,0.5,3,0.09593287929509704
CTTN,30.0,0.5,6,0.0982570804514437
CTTN,30.0,0.5,9,0.11345155570405749
CTTN,30.0,0.5,12,0.10702584909001812
CTTN,30.0,0.5,15,0.09455059300819241
CTTN,30.0,0.5,18,0.09856231947059368
CTTN,30.0,0.5,21,0.09001313795251412
CTTN,30.0,0.5,24,0.0976565332193651
CTTN,30.0,0.5,27,0.10502065729531465
CTTN,30.0,0.5,30,0.09874814499213717
CTTN,30.0,2.0,3,0.030293683202919735
CTTN,30.0,2.0,6,0.03313212000467162
CTTN,30.0,2.0,9,0.03300102842755524
CTTN,30.0,2.0,12,0.029144616688949108
CTTN,30.0,2.0,15,0.02706979484966829
CTTN,30.0,2.0,18,0.02808455723173859
CTTN,30.0,2.0,21,0.029537777912435198
CTTN,30.0,2.0,24,0.03954591962300842
CTTN,30.0,2.0,27,0.029135042258770203
CTTN,30.0,2.0,30,0.027101200434774854
CTTN,30.0,5.0,3,0.013360897259552628
CTTN,30.0,5.0,6,0.017427060463205104
CTTN,30.0,5.0,9,0.011227727357322958
CTTN,30.0,5.0,12,0.013083437362219614
CTTN,30.0,5.0,15,0.017037199308820042
CTTN,30.0,5.0,18,0.01312758973202577
CTTN,30.0,5.0,21,0.015027980609574852
CTTN,30.0,5.0,24,0.01463272299149196
CTTN,30.0,5.0,27,0.010368169891125238
CTTN,30.0,5.0,30,0.009773783732875303
CTTN,30.0,10.0,3,0.008208138633059152
CTTN,30.0,10.0,6,0.00911757223997422
CTTN,30.0,10.0,9,0.0054776049778030396
CTTN,30.0,10.0,12,0.0070133232053052625
CTTN,30.0,10.0,15,0.006317948958918699
CTTN,30.0,10.0,18,0.006146447988213488
CTTN,30.0,10.0,21,0.0038241162022247563
CTTN,30.0,10.0,24,0.005099521268063071
CTTN,30.0,10.0,27,0.009618902341327763
CTTN,30.0,10.0,30,0.006041507386175376
QTT_Int,1.0,0.5,3,0.017226555782052042
QTT_Int,1.0,0.5,6,4.654507053472046e-16
QTT_Int,1.0,0.5,9,4.499455610760494e-16
QTT_Int,1.0,0.5,12,4.667847246390938e-16
QTT_Int,1.0,0.5,15,4.664825415905942e-16
QTT_Int,1.0,0.5,18,4.542091994795389e-16
QTT_Int,1.0,0.5,21,4.606254370768934e-16
QTT_Int,1.0,0.5,24,4.518807735282881e-16
QTT_Int,1.0,0.5,27,4.628746940638011e-16
QTT_Int,1.0,0.5,30,4.59942416043952e-16
QTT_Int,1.0,2.0,3,0.06145931083631183
QTT_Int,1.0,2.0,6,1.7967243579819232e-16
QTT_Int,1.0,2.0,9,1.7044903858256594e-16
QTT_Int,1.0,2.0,12,1.6237062480855714e-16
QTT_Int,1.0,2.0,15,1.7368676643413156e-16
QTT_Int,1.0,2.0,18,1.744544202687543e-16
QTT_Int,1.0,2.0,21,1.695008507695105e-16
QTT_Int,1.0,2.0,24,1.6848834513574485e-16
QTT_Int,1.0,2.0,27,1.6006380886062299e-16
QTT_Int,1.0,2.0,30,1.6769226945586076e-16
QTT_Int,1.0,5.0,3,0.10341774263168414
QTT_Int,1.0,5.0,6,1.0275996567122855e-16
QTT_Int,1.0,5.0,9,1.0346199157655344e-16
QTT_Int,1.0,5.0,12,1.0492286893610093e-16
QTT_Int,1.0,5.0,15,1.1047238243995498e-16
QTT_Int,1.0,5.0,18,1.0102147642755856e-16
QTT_Int,1.0,5.0,21,1.0798198890867429e-16
QTT_Int,1.0,5.0,24,1.0246606001892713e-16
QTT_Int,1.0,5.0,27,1.1007889753064481e-16
QTT_Int,1.0,5.0,30,1.0479415689395948e-16
QTT_Int,1.0,10.0,3,0.09811850827528155
QTT_Int,1.0,10.0,6,6.243506260241952e-17
QTT_Int,1.0,10.0,9,6.72656634470151e-17
QTT_Int,1.0,10.0,12,7.266523054500814e-17
QTT_Int,1.0,10.0,15,7.289244257086658e-17
QTT_Int,1.0,10.0,18,6.876044912529214e-17
QTT_Int,1.0,10.0,21,7.057175705445624e-17
QTT_Int,1.0,10.0,24,6.907993345551931e-17
QTT_Int,1.0,10.0,27,6.988816001252335e-17
QTT_Int,1.0,10.0,30,6.589294134138216e-17
QTT_Int,5.0,0.5,3,0.07046932264400882
QTT_Int,5.0,0.5,6,2.1707327110426662e-16
QTT_Int,5.0,0.5,9,2.0983633250501693e-16
QTT_Int,5.0,0.5,12,2.2328900896563494e-16
QTT_Int,5.0,0.5,15,2.1129408532319457e-16
QTT_Int,5.0,0.5,18,2.114652622992876e-16
QTT_Int,5.0,0.5,21,2.0876464945906293e-16
QTT_Int,5.0,0.5,24,2.2483577020250286e-16
QTT_Int,5.0,0.5,27,2.1701909160870944e-16
QTT_Int,5.0,0.5,30,2.186772201336317e-16
QTT_Int,5.0,2.0,3,0.09415329252971505
QTT_Int,5.0,2.0,6,5.502789934648222e-17
QTT_Int,5.0,2.0,9,6.426551101825697e-17
QTT_Int,5.0,2.0,12,6.464879286553255e-17
QTT_Int,5.0,2.0,15,6.88799810228148e-17
QTT_Int,5.0,2.0,18,6.218584283844984e-17
QTT_Int,5.0,2.0,21,6.710235272179953e-17
QTT_Int,5.0,2.0,24,6.27473488831782e-17
QTT_Int,5.0,2.0,27,5.8138589570553e-17
QTT_Int,5.0,2.0,30,5.958960552328516e-17
QTT_Int,5.0,5.0,3,0.0531204046673361
QTT_Int,5.0,5.0,6,2.8261349334048375e-17
QTT_Int,5.0,5.0,9,2.6966579788861126e-17
QTT_Int,5.0,5.0,12,2.5323166164129912e-17
QTT_Int,5.0,5.0,15,2.546965010795616e-17
QTT_Int,5.0,5.0,18,2.5079258312556213e-17
